title,label1,label2,label3,label4,label5,label6
软件工程,course,北京大学,王立福，孙艳春，刘学,,,
软件工程,course,国防科技大学,齐治昌,,,
软件工程,course,浙江大学,陈越,,,
软件及软件工程的相关概念(1),knowledge,第1章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
第一讲主要内容概述,knowledge,第1章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
软件的概念,knowledge,第1章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
软件的分类,knowledge,第1章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
软件研究的三个层次,knowledge,第1章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
软件发展的阶段,knowledge,第1章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
软件技术发展的驱动力,knowledge,第1章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
软件产业的形成,knowledge,第1章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
软件产业的地位,knowledge,第1章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
全球软件产业的发展,knowledge,第1章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
中国软件产业的现状,knowledge,第1章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
中国软件产业发展的瓶颈,knowledge,第1章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
软件及软件工程的相关概念(2),knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
课前提要,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件危机,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件复杂性的增长,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件现状——危机仍然存在,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程的诞生,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程的概念,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程范围,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程框架,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件技术与软件工程,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
OSISO/GB软件产品质量模型,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件方法学的层次,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程发展的主要历程,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程框架,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件方法学发展回顾,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
对软件工程认识的发展,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程研究热点,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
Internet带来的挑战及新兴研究,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
未来软件面临的挑战； 开发关注点的变化、对高可信的关注,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
网构软件及其技术体系,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
关于本课程的学习,knowledge,第1章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程的相关概念(1),knowledge,第1章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
介绍本次课程的内容,knowledge,第1章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
设置本门课程的基本目的,knowledge,第1章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程的基本知识结构,knowledge,第1章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
本门课程内容简介,knowledge,第1章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
教科书与教学参考书,knowledge,第1章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
学生成绩评定方法及课程实践说明,knowledge,第1章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
软件的定义,knowledge,第1章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
软件的特点,knowledge,第1章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
软件的种类,knowledge,第1章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程的相关概念(2),knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件的种类（承接上）,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程的起源,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件开发的三阶段：个人程序时期,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件开发的三阶段：软件作坊时期,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件开发的三阶段：软件工程时期,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程概念提出,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程的定义,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件开发的本质和基本手段；软件开发的含义,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件开发的基本手段； 问题空间与解空间的映射,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件开发的本质和基本手段：实现映射的基本手段；建模模型的概念与软件系统或项的模型分类,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程的框架；软件工程的目标,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程的框架；软件工程的活动；需求、设计、实现、确认、支持活动,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程的框架：软件工程的原则,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程的框架：软件工程框架的作用,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件产业的形成与发展：中国软件产业的形成,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件产业的形成与发展：全球软件产业的发展,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件产业的形成与发展：中印软件业的对比,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
软件产业的形成与发展：中国软件工程人才极其紧缺。,knowledge,第1章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
划分整体框架、过各分类：基本过程、支持过程和组织过程(1),knowledge,第2章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程整体框架,knowledge,第2章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程生存周期过程概念,knowledge,第2章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程生存周期过程与软件过程对比 ,knowledge,第2章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
软件开发的前期准备——任务、活动、过程,knowledge,第2章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
f积分类：基本过程、支持过程、组织过程,knowledge,第2章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
基本过程分类：获取、供应、开发、运行、维护过程,knowledge,第2章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
软件生存周期过程和软件开发过程对比总结；软件开发过程,knowledge,第2章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
f种的实施准备~规划软件工程过程,knowledge,第2章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
软件需求分析,knowledge,第2章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
划分整体框架、过各分类：基本过程、支持过程和组织过程(2),knowledge,第2章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件体系结构设计,knowledge,第2章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件支持过程（文档、配置管理、质量保证、验证、确认、联合评审、审计、问题解决过程）,knowledge,第2章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件工程生存周期过程与软件过程对比,knowledge,第2章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件开发的前期准备—任务、活动、过程实现、验证,knowledge,第2章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
过程分类,knowledge,第2章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
验证（合同验证、过程验证、需求验证、设计验证、编码验证、集成验证、文档验证）,knowledge,第2章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
确认过程、验证和确认的执行,knowledge,第2章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件测试（错误、故障、失效）,knowledge,第2章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
组织过程（管理过程、基础设施过程、改进过程、人力资源过程、资产管理过程、复用程序管理过程、领域软件工程过程）,knowledge,第2章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
管理过程（产品管理、项目管理、过程管理）,knowledge,第2章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
基础设施过程,knowledge,第2章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
软件过程之间的关系,knowledge,第2章,第2节,软件工程,北京大学,王立福，孙艳春，刘学
划分整体框架、过各分类：基本过程、支持过程和组织过程(3),knowledge,第2章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
软件生存周期概念和软件生存周期过程,knowledge,第2章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
过程分类（基本过程、支持过程、组织过程）,knowledge,第2章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
软件生存周期模型（基本概念）,knowledge,第2章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
瀑布模型,knowledge,第2章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
关于瀑布模型的几点说明,knowledge,第2章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
瀑布模型存在的不足,knowledge,第2章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
瀑布模型适用的情况,knowledge,第2章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
增量模型,knowledge,第2章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
关于增量模型的几点说明,knowledge,第2章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
增量模型的缺点,knowledge,第2章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
增量模型的适用情况,knowledge,第2章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
演化模型,knowledge,第2章,第3节,软件工程,北京大学,王立福，孙艳春，刘学
划分整体框架、过各分类：基本过程、支持过程和组织过程(4),knowledge,第2章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
演化模型、演化模型的几点说明（主要特征、与瀑布模型的关使用演化模型应注意问题、演化模型的长处和不足）,knowledge,第2章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
喷泉模型（特征：迭代无缝、与面向对象技术的关系）,knowledge,第2章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
螺旋模型（特点）,knowledge,第2章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
关于螺旋模型的几点说明（基本步骤、特点、与其他模型的关系,knowledge,第2章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
快速原型模型,knowledge,第2章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
面向利用的软件开发模型,knowledge,第2章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
面向利用的软件开发模型的优点、缺点,knowledge,第2章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
回顾（软件开发过程要做的事情、开发活动的组织框架、软件生存周期过程）,knowledge,第2章,第4节,软件工程,北京大学,王立福，孙艳春，刘学
需求的概念、需求分析的概念与需求规约过程(1),knowledge,第3章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
说明本章内容在于带领大家了解关于需求、软件需求、软件需求规约等一系列问题,knowledge,第3章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
说明正确定义问题是解决问题的前提，提出定义问题的基本要素及基本格式,knowledge,第3章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
如何认识需求工作，说明软件无处不在,knowledge,第3章,第1节,软件工程,北京大学,王立福，孙艳春，刘学
