title,label1,label2,label3,label4,label5,label6
第01章,chapter,软件工程,北京大学,王立福，孙艳春，刘学,,
第02章,chapter,软件工程,北京大学,王立福，孙艳春，刘学,,
第03章,chapter,软件工程,北京大学,王立福，孙艳春，刘学,,
第04章,chapter,软件工程,北京大学,王立福，孙艳春，刘学,,
第05章,chapter,软件工程,北京大学,王立福，孙艳春，刘学,,
第06章,chapter,软件工程,北京大学,王立福，孙艳春，刘学,,
第07章,chapter,软件工程,北京大学,王立福，孙艳春，刘学,,
第08章,chapter,软件工程,北京大学,王立福，孙艳春，刘学,,
第09章,chapter,软件工程,北京大学,王立福，孙艳春，刘学,,
第10章,chapter,软件工程,北京大学,王立福，孙艳春，刘学,,
第11章,chapter,软件工程,北京大学,王立福，孙艳春，刘学,,
第12章,chapter,软件工程,北京大学,王立福，孙艳春，刘学,,
第13章,chapter,软件工程,北京大学,王立福，孙艳春，刘学,,
第14章,chapter,软件工程,北京大学,王立福，孙艳春，刘学,,
第15章,chapter,软件工程,北京大学,王立福，孙艳春，刘学,,
第16章,chapter,软件工程,北京大学,王立福，孙艳春，刘学,,
第01章,chapter,软件工程,国防科技大学,齐治昌,,
第02章,chapter,软件工程,国防科技大学,齐治昌,,
第03章,chapter,软件工程,国防科技大学,齐治昌,,
第05章,chapter,软件工程,国防科技大学,齐治昌,,
第06章,chapter,软件工程,国防科技大学,齐治昌,,
第07章,chapter,软件工程,国防科技大学,齐治昌,,
第08章,chapter,软件工程,国防科技大学,齐治昌,,
第01章,chapter,软件工程,浙江大学,陈越,,
第02章,chapter,软件工程,浙江大学,陈越,,
第03章,chapter,软件工程,浙江大学,陈越,,
第04章,chapter,软件工程,浙江大学,陈越,,
第05章,chapter,软件工程,浙江大学,陈越,,
第06章,chapter,软件工程,浙江大学,陈越,,
