name,chapter_section,relation,courses_name,reference
beidawlf,01_01,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,01_02,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,01_03,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,01_04,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,02_01,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,02_02,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,02_03,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,02_04,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,03_01,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,03_02,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,04_01,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,04_02,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,05_01,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,05_02,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,05_03,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,05_04,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,06_01,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,06_02,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,07_01,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,07_02,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,07_03,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,07_04,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,07_05,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,07_06,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,08_01,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,08_02,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,08_03,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,08_04,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,08_05,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,08_06,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,09_01,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,09_02,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,09_03,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,09_04,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,10_01,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,10_02,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,10_03,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,11_01,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,11_02,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,12_01,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,13_01,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,14_01,subclass,软件工程,王立福，孙艳春，刘学
beidawlf,14_02,subclass,软件工程,王立福，孙艳春，刘学
