name,starttime,endtime
软件及软件工程的相关概念(1),00:00:00.000,1900-01-02 04:20:00.000
第一讲主要内容概述,00:00:00.000,01:29:00.000
软件的概念,01:29:00.000,11:50:00.000
软件的分类,11:50:00.000,17:30:00.000
软件研究的三个层次,17:30:00.000,21:40:00.000
软件发展的阶段,21:40:00.000,1900-01-01 00:18:00.000
软件技术发展的驱动力,1900-01-01 00:18:00.000,1900-01-01 15:06:00.000
软件产业的形成,1900-01-01 15:06:00.000,1900-01-01 19:34:00.000
软件产业的地位,1900-01-01 19:34:00.000,1900-01-01 22:05:00.000
全球软件产业的发展,1900-01-01 22:05:00.000,1900-01-02 00:10:00.000
中国软件产业的现状,1900-01-02 00:10:00.000,1900-01-02 01:50:00.000
中国软件产业发展的瓶颈,1900-01-01 22:05:00.000,1900-01-02 04:20:00.000
软件及软件工程的相关概念(2),00:00:00.000,1900-01-02 01:15:00.000
课前提要,00:00:00.000,00:25:00.000
软件危机,00:25:00.000,01:50:00.000
软件复杂性的增长,01:50:00.000,04:30:00.000
软件现状——危机仍然存在,04:30:00.000,05:33:00.000
软件工程的诞生,05:33:00.000,07:44:00.000
软件工程的概念,07:44:00.000,08:32:00.000
软件工程范围,08:32:00.000,11:35:00.000
软件工程框架,11:35:00.000,11:55:00.000
软件技术与软件工程,11:55:00.000,13:09:00.000
OSISO/GB软件产品质量模型,13:09:00.000,15:05:00.000
软件方法学的层次,15:05:00.000,15:35:00.000
软件工程发展的主要历程,15:35:00.000,19:25:00.000
软件工程框架,19:25:00.000,19:40:00.000
软件方法学发展回顾,19:40:00.000,22:20:00.000
对软件工程认识的发展,22:20:00.000,1900-01-01 01:15:00.000
软件工程研究热点,1900-01-01 01:15:00.000,1900-01-01 13:08:00.000
Internet带来的挑战及新兴研究,1900-01-01 13:08:00.000,1900-01-01 15:10:00.000
未来软件面临的挑战； 开发关注点的变化、对高可信的关注,1900-01-01 15:10:00.000,1900-01-01 18:43:00.000
网构软件及其技术体系,1900-01-01 18:43:00.000,1900-01-01 20:15:00.000
关于本课程的学习,1900-01-01 20:15:00.000,1900-01-02 01:15:00.000
软件工程的相关概念(1),00:00:00.000,1900-01-01 23:53:00.000
介绍本次课程的内容,00:00:00.000,01:15:00.000
设置本门课程的基本目的,01:15:00.000,06:00:00.000
软件工程的基本知识结构,06:00:00.000,10:30:00.000
本门课程内容简介,10:30:00.000,23:35:00.000
教科书与教学参考书,23:35:00.000,1900-01-01 01:15:00.000
学生成绩评定方法及课程实践说明,1900-01-01 01:15:00.000,1900-01-01 07:40:00.000
软件的定义,1900-01-01 07:40:00.000,1900-01-01 09:03:00.000
软件的特点,1900-01-01 09:03:00.000,1900-01-01 22:35:00.000
软件的种类,1900-01-01 22:35:00.000,1900-01-01 23:53:00.000
软件工程的相关概念(2),00:00:00.000,1900-01-02 02:52:00.000
软件的种类（承接上）,00:00:00.000,01:22:00.000
软件工程的起源,01:22:00.000,03:05:00.000
软件开发的三阶段：个人程序时期,03:05:00.000,04:24:00.000
软件开发的三阶段：软件作坊时期,04:24:00.000,05:38:00.000
软件开发的三阶段：软件工程时期,05:38:00.000,06:42:00.000
软件工程概念提出,06:42:00.000,07:55:00.000
软件工程的定义,07:55:00.000,10:05:00.000
软件开发的本质和基本手段；软件开发的含义,10:05:00.000,13:35:00.000
软件开发的基本手段； 问题空间与解空间的映射,13:35:00.000,18:17:00.000
软件开发的本质和基本手段：实现映射的基本手段；建模模型的概念与软件系统或项的模型分类,18:17:00.000,23:50:00.000
