title,label1,label2,label3,label4,label5,label6
第01节,section,第01章,软件及软件工程的相关概念(1),软件工程,北京大学,王立福，孙艳春，刘学
第02节,section,第01章,软件及软件工程的相关概念(2),软件工程,北京大学,王立福，孙艳春，刘学
第03节,section,第01章,软件工程的相关概念(1),软件工程,北京大学,王立福，孙艳春，刘学
第04节,section,第01章,软件工程的相关概念(2),软件工程,北京大学,王立福，孙艳春，刘学
第01节,section,第02章,划分整体框架、过各分类：基本过程、支持过程和组织过程(1),软件工程,北京大学,王立福，孙艳春，刘学
第02节,section,第02章,划分整体框架、过各分类：基本过程、支持过程和组织过程(2),软件工程,北京大学,王立福，孙艳春，刘学
第03节,section,第02章,划分整体框架、过各分类：基本过程、支持过程和组织过程(3),软件工程,北京大学,王立福，孙艳春，刘学
第04节,section,第02章,划分整体框架、过各分类：基本过程、支持过程和组织过程(4),软件工程,北京大学,王立福，孙艳春，刘学
第01节,section,第03章,需求的概念、需求分析的概念与需求规约过程(1),软件工程,北京大学,王立福，孙艳春，刘学
第02节,section,第03章,软件设计、框架、模式、模块化、信息隐藏、功能独立、尺寸模块、重构、类、设计模型、模块独立、内聚、耦合、系统设计、数据设计、评估、数据流、映射、详细设计、UML、界面设计,软件工程,北京大学,王立福，孙艳春，刘学
第01节,section,第04章,使用结构化方法进行需求分析,软件工程,北京大学,王立福，孙艳春，刘学
第02节,section,第04章,使用结构化方法进行需求分析(2),软件工程,北京大学,王立福，孙艳春，刘学
第01节,section,第05章,结构化设计方法(1),软件工程,北京大学,王立福，孙艳春，刘学
第02节,section,第05章,结构化设计方法(2),软件工程,北京大学,王立福，孙艳春，刘学
第03节,section,第05章,结构化设计方法(3),软件工程,北京大学,王立福，孙艳春，刘学
第04节,section,第05章,结构化设计方法(4),软件工程,北京大学,王立福，孙艳春，刘学
第01节,section,第06章,敏捷软件开发(1),软件工程,北京大学,王立福，孙艳春，刘学
第02节,section,第06章,敏捷软件开发(2),软件工程,北京大学,王立福，孙艳春，刘学
第01节,section,第07章,面向对象方法、UML,软件工程,北京大学,王立福，孙艳春，刘学
第02节,section,第07章,面向对象方法、UML(2),软件工程,北京大学,王立福，孙艳春，刘学
第03节,section,第07章,面向对象方法、UML(3),软件工程,北京大学,王立福，孙艳春，刘学
第04节,section,第07章,面向对象方法、UML(4),软件工程,北京大学,王立福，孙艳春，刘学
第05节,section,第07章,面向对象方法、UML(5),软件工程,北京大学,王立福，孙艳春，刘学
第06节,section,第07章,面向对象方法、UML(6),软件工程,北京大学,王立福，孙艳春，刘学
第01节,section,第08章,面向对象的分析、设计和编程(1),软件工程,北京大学,王立福，孙艳春，刘学
第02节,section,第08章,面向对象的分析、设计和编程(2),软件工程,北京大学,王立福，孙艳春，刘学
第03节,section,第08章,面向对象的分析、设计和编程(3),软件工程,北京大学,王立福，孙艳春，刘学
第04节,section,第08章,面向对象的分析、设计和编程(4),软件工程,北京大学,王立福，孙艳春，刘学
第05节,section,第08章,面向对象的分析、设计和编程(5),软件工程,北京大学,王立福，孙艳春，刘学
第06节,section,第08章,面向对象的分析、设计和编程(6),软件工程,北京大学,王立福，孙艳春，刘学
第01节,section,第09章,建立程序的控制流程图，对程序进行白盒测试，对模块进行黑盒测试，制定测试计划对软件进行测试(1),软件工程,北京大学,王立福，孙艳春，刘学
第02节,section,第09章,建立程序的控制流程图，对程序进行白盒测试，对模块进行黑盒测试，制定测试计划对软件进行测试(2),软件工程,北京大学,王立福，孙艳春，刘学
第03节,section,第09章,建立程序的控制流程图，对程序进行白盒测试，对模块进行黑盒测试，制定测试计划对软件进行测试(3),软件工程,北京大学,王立福，孙艳春，刘学
第04节,section,第09章,建立程序的控制流程图，对程序进行白盒测试，对模块进行黑盒测试，制定测试计划对软件进行测试(4),软件工程,北京大学,王立福，孙艳春，刘学
第01节,section,第10章,软件项目管理、CMM和ISO9000(1),软件工程,北京大学,王立福，孙艳春，刘学
第02节,section,第10章,软件项目管理、CMM和ISO9000(2),软件工程,北京大学,王立福，孙艳春，刘学
第03节,section,第10章,软件项目管理、CMM和ISO9000(3),软件工程,北京大学,王立福，孙艳春，刘学
第01节,section,第11章,互联网概念、互联网计算环境的新型特征、互联网计算的新型应用模式、互联网软件工程观(1),软件工程,北京大学,王立福，孙艳春，刘学
第02节,section,第11章,互联网概念、互联网计算环境的新型特征、互联网计算的新型应用模式、互联网软件工程观(2),软件工程,北京大学,王立福，孙艳春，刘学
第01节,section,第12章,软件开发工具与环境(1),软件工程,北京大学,王立福，孙艳春，刘学
第01节,section,第13章,软件开发工具与环境(2),软件工程,北京大学,王立福，孙艳春，刘学
第01节,section,第14章,软件工程作业讲评(1),软件工程,北京大学,王立福，孙艳春，刘学
第02节,section,第14章,软件工程作业讲评(2),软件工程,北京大学,王立福，孙艳春，刘学
第01节,section,第15章,课程实践说明(1),软件工程,北京大学,王立福，孙艳春，刘学
第02节,section,第15章,课程实践说明(2),软件工程,北京大学,王立福，孙艳春，刘学
第01节,section,第16章,小组展示(1),软件工程,北京大学,王立福，孙艳春，刘学
第02节,section,第16章,小组展示(2),软件工程,北京大学,王立福，孙艳春，刘学
第03节,section,第16章,小组展示(3),软件工程,北京大学,王立福，孙艳春，刘学
第04节,section,第16章,小组展示(4),软件工程,北京大学,王立福，孙艳春，刘学
第05节,section,第16章,小组展示(5),软件工程,北京大学,王立福，孙艳春，刘学
第06节,section,第16章,小组展示(6),软件工程,北京大学,王立福，孙艳春，刘学
第07节,section,第16章,小组展示(3),软件工程,北京大学,王立福，孙艳春，刘学
第08节,section,第16章,小组展示(8),软件工程,北京大学,王立福，孙艳春，刘学
第01节,section,第01章,软件与软件工程(1),软件工程,国防科技大学,齐治昌
第02节,section,第01章,软件与软件工程(2),软件工程,国防科技大学,齐治昌
第01节,section,第02章,需求工程(1),软件工程,国防科技大学,齐治昌
第02节,section,第02章,需求工程(2),软件工程,国防科技大学,齐治昌
第03节,section,第02章,需求工程(3),软件工程,国防科技大学,齐治昌
第04节,section,第02章,需求工程(4),软件工程,国防科技大学,齐治昌
第05节,section,第02章,需求工程(5),软件工程,国防科技大学,齐治昌
第06节,section,第02章,需求工程(6),软件工程,国防科技大学,齐治昌
第01节,section,第03章,需求分析(1),软件工程,国防科技大学,齐治昌
第02节,section,第03章,需求分析(2),软件工程,国防科技大学,齐治昌
第03节,section,第03章,需求分析(3),软件工程,国防科技大学,齐治昌
第04节,section,第03章,需求分析(4),软件工程,国防科技大学,齐治昌
第05节,section,第03章,需求分析(5),软件工程,国防科技大学,齐治昌
第06节,section,第03章,需求分析(6),软件工程,国防科技大学,齐治昌
第01节,section,第05章,软件实现、完美编程的观念、完美编程的规则与编程实践、发现软件实现代码中的缺陷、以高质量的程序代码实现软件设计模型,软件工程,国防科技大学,齐治昌
第02节,section,第05章,软件实现、完美编程的观念、完美编程的规则与编程实践、发现软件实现代码中的缺陷、以高质量的程序代码实现软件设计模型(1),软件工程,国防科技大学,齐治昌
第03节,section,第05章,软件实现、完美编程的观念、完美编程的规则与编程实践、发现软件实现代码中的缺陷、以高质量的程序代码实现软件设计模型(2),软件工程,国防科技大学,齐治昌
第01节,section,第06章,软件测试(1),软件工程,国防科技大学,齐治昌
第02节,section,第06章,软件测试(2),软件工程,国防科技大学,齐治昌
第03节,section,第06章,软件测试(3),软件工程,国防科技大学,齐治昌
第04节,section,第06章,软件测试(4),软件工程,国防科技大学,齐治昌
第01节,section,第07章,软件维护,软件工程,国防科技大学,齐治昌
第01节,section,第08章,软件项目管理,软件工程,国防科技大学,齐治昌
第01节,section,第01章,软件工程概述及相关模型（1）,软件工程,浙江大学,陈越
第02节,section,第01章,软件工程概述及相关模型（2）,软件工程,浙江大学,陈越
第03节,section,第01章,软件工程概述及相关模型(3),软件工程,浙江大学,陈越
第04节,section,第01章,软件工程概述及相关模型(4),软件工程,浙江大学,陈越
第05节,section,第01章,软件工程概述及相关模型(5),软件工程,浙江大学,陈越
第01节,section,第02章,软件需求工程(1),软件工程,浙江大学,陈越
第02节,section,第02章,软件需求工程(2),软件工程,浙江大学,陈越
第03节,section,第02章,软件需求工程(3),软件工程,浙江大学,陈越
第04节,section,第02章,软件需求工程(4),软件工程,浙江大学,陈越
第05节,section,第02章,软件需求工程(5),软件工程,浙江大学,陈越
第01节,section,第03章,软件设计(1),软件工程,浙江大学,陈越
第02节,section,第03章,软件设计(2),软件工程,浙江大学,陈越
第03节,section,第03章,软件设计(3),软件工程,浙江大学,陈越
第04节,section,第03章,软件设计(4),软件工程,浙江大学,陈越
第05节,section,第03章,软件设计(5),软件工程,浙江大学,陈越
第06节,section,第03章,软件设计(6),软件工程,浙江大学,陈越
第01节,section,第04章,软件测试(1),软件工程,浙江大学,陈越
第02节,section,第04章,软件测试(2),软件工程,浙江大学,陈越
第03节,section,第04章,软件测试(3),软件工程,浙江大学,陈越
第04节,section,第04章,软件测试(4),软件工程,浙江大学,陈越
第01节,section,第05章,web项目管理、web需求分析、web应用软件设计、web应用软件测试(1),软件工程,浙江大学,陈越
第02节,section,第05章,web项目管理、web需求分析、web应用软件设计、web应用软件测试(2),软件工程,浙江大学,陈越
第03节,section,第05章,web项目管理、web需求分析、web应用软件设计、web应用软件测试(3),软件工程,浙江大学,陈越
